"T","replica","parameter","mean","median","sd","2.5%","25%","50%","75%","97.5%"
500,1,"alpha0",0.186628254148025,0.140717712872996,0.143378955764353,0.0484741379397457,0.088643590538312,0.140717712872996,0.243174205631846,0.679000261762214
500,1,"alpha1",0.131060624721844,0.122520917106457,0.0556196871191768,0.045391577472286,0.090645210137168,0.122520917106457,0.163847350267735,0.2646223819503
500,1,"beta1",0.695703070314481,0.742983829155357,0.169630727496617,0.169991302372286,0.606793236980671,0.742983829155357,0.820088695236875,0.893336715296098
500,2,"alpha0",0.147396039760383,0.137619443227374,0.0595722418050622,0.0590340633053546,0.110071658016902,0.137619443227374,0.174189036445793,0.291351186090724
500,2,"alpha1",0.157182804210176,0.149707329608704,0.051009749482378,0.0780226658849705,0.119159498245494,0.149707329608704,0.188419486808104,0.272385560540554
500,2,"beta1",0.674717205075054,0.685256471686903,0.0940885864474144,0.449158102969837,0.627219572494642,0.685256471686903,0.734705811683379,0.828263141738172
500,3,"alpha0",0.295383814423598,0.286359291789852,0.134943812484324,0.0899327500488123,0.184486444357965,0.286359291789852,0.38122188151623,0.579861842061585
500,3,"alpha1",0.0694171748789029,0.0632653671043564,0.0396700189411723,0.00765614152281292,0.042077339661228,0.0632653671043564,0.0914200294789531,0.161381101726156
500,3,"beta1",0.588300727472702,0.600853545239453,0.163204216838558,0.232913815043862,0.481095430394267,0.600853545239453,0.715095962536462,0.844391308793524
500,4,"alpha0",0.0870627892940751,0.0664308629648868,0.0641318005837015,0.0339969892052774,0.0518124927601451,0.0664308629648868,0.0954663056076138,0.287314919220692
500,4,"alpha1",0.147175163450543,0.140862304979568,0.0502143243576161,0.0697648845522388,0.109080830445668,0.140862304979568,0.177058329718654,0.262221198983953
500,4,"beta1",0.786371454160925,0.808792842945459,0.09023079392671,0.551990232346098,0.756892429522236,0.808792842945459,0.845642264261882,0.890517364618533
500,5,"alpha0",0.283279973074973,0.279953498929996,0.10643856780076,0.0984268347903904,0.197504157075373,0.279953498929996,0.364469678748235,0.482313109236197
500,5,"alpha1",0.168778402543385,0.163475933963161,0.0597688450630871,0.0690499262151363,0.126471917116622,0.163475933963161,0.204331725004306,0.309917412034174
500,5,"beta1",0.509131273754292,0.505351328230189,0.148531552104837,0.244558098988722,0.39166212511658,0.505351328230189,0.619982261171761,0.785122876017957
500,6,"alpha0",0.112654909801219,0.103481738843797,0.0722803434939293,0.0227269207717373,0.0629176735663459,0.103481738843797,0.139829790805467,0.298297877724854
500,6,"alpha1",0.166701933834846,0.162373336833607,0.0527680893023064,0.075962537669485,0.130844393503328,0.162373336833607,0.198997898373115,0.279840394355969
500,6,"beta1",0.726949968188359,0.731990936955427,0.107938071149552,0.474429702899362,0.672199616291129,0.731990936955427,0.805130276470625,0.895780876676496
500,7,"alpha0",0.12886326876902,0.11442217394829,0.0627422648296015,0.0540510756324711,0.0910665536654678,0.11442217394829,0.148898473710114,0.329370215285129
500,7,"alpha1",0.173721790844467,0.168866657276687,0.0447188851871368,0.0992645325567308,0.142552739520384,0.168866657276687,0.198989570585685,0.277177543340436
500,7,"beta1",0.704110548433186,0.723537693344187,0.0863621072589113,0.424896102741074,0.672404962319397,0.723537693344187,0.760119257933385,0.814472326916705
500,8,"alpha0",0.170703226834086,0.15141114590106,0.0769737577423434,0.0629016589072262,0.122695511279579,0.15141114590106,0.199375762238685,0.379831460908824
500,8,"alpha1",0.125943472333372,0.120459548644987,0.0443315698681754,0.0559493548793075,0.0951514995028431,0.120459548644987,0.150142892455899,0.231733373481165
500,8,"beta1",0.695385050460135,0.71492167477354,0.101041521703968,0.4300339926453,0.648870950376531,0.71492167477354,0.763247150752762,0.845755702115691
500,9,"alpha0",0.174271872123604,0.154254972202072,0.0873817219496819,0.0632351000840999,0.108171953956529,0.154254972202072,0.217277753216782,0.418818560192019
